شناهوا م تخصص هذا المطعم اليوم ؟	RAB
جو لطيف .	MSA
انبسطت كتير بمعرفتك .	BEI
وايتر ، بتجيب الحساب إذا بتريد ؟	BEI
إذا بتريد تركني .	BEI
دعني أري ذلك ، نعم ـ اليوم يوجد غذاء خاص سوف يقدم سريعاً .	MSA
عبالي إحصل علي .	BEI
أي رقم باص ؟	BEI
وقتاش غادي نوصلو لنيويورك ؟	RAB
اظن ان رجلي مكسورة .	DOH
كم مشاهد يستوعب الاستاد ؟	DOH
مافهمتش هاد الشي . اهضر بزاف .	RAB
لا ، غير دور على ليسار . هالديباناج . تما . سير في هاد الطريق لي تما . ياللاه ، وقف هنا .	RAB
عافاك الفاتورة د هاد الليلة .	RAB
علاش ماجيتيش البارح بالليل ؟	RAB
ممكن أشوفك بكره بعد الضهر ؟	CAI
بدلي هذا ، يعيشك .	TUN
هذا طيارة .	TUN
غريبة اني شفتك هني .	DOH
غادي نشد طاكسي .	RAB
ممكن تتكلم بشويش شوبه ؟	CAI
ماعمري ما شفت شي منظر واسع بحال هادا .	RAB
عكم موأف باص لازم إرجع ؟	BEI
فيه اى رحلات بتورينا معالم المدينة ؟	CAI
بغيت صايا .	RAB
تلاتة شرائح اللحم ، واحد الهومار كبير ، و عشر أنواع مثلجات .	RAB
خمس عشرينات ، عشر عشرات ، و الباقي بورق دولار واحد ، من فضلك .	CAI
انا طالب سنة أولى جديد . ما بعرف سجل . فيك تساعدني إذا بتريد ؟	BEI
عندك سوفينيرات مناح ؟	BEI
فما بواتا من هوني ؟	TUN
ممكن اسوي حجز الساعة تسع ونص الصبح ، لو سمحت ؟	DOH
كاش او بالبطاقة ؟	BEI
كل اديه بيركضوا ؟	BEI
اسمي على الشنطة .	BEI
يعتمد على طول الجولة .	DOH
أنت محظوظ . جميع المتاجر بها تخفيض في الوقت الحالي . يمكنك أن تشتري بخصم .	MSA
وريني ، يعيشك .	TUN
ورني وحدة ثانية ، لو سمحت .	DOH
عيد اللي قلته .	DOH
مرحبا . واش هادا تأمين بوسطن ؟	RAB
شاي وحامض ، إزا بتريد .	BEI
إنه خال من الكحول , لذا تستطيع أن تستريح لأن هناك القليل من التهيج .	MSA
فين مكتب استعلامات السائح ؟	CAI
نحب نمشي ال متحف معروف بل هو ول فضا .	TUN
جايي من ألمانيا .	BEI
أنا هنا فعطلة .	RAB
واش كاين شي مأثر قديمة ؟	RAB
اصدمت شي واحد .	RAB
شحال الثمن ديال هاد الكسوة ؟	RAB
حيت مصنوعين من الحرير .	RAB
ممكن تشتريلي تذكرة ؟	CAI
عندك ليكور ؟	BEI
هالفستان مش عقدي .	BEI
وقعات اكسيدة .	RAB
فهمت . بس تدفع رسوم اضافية .	DOH
لاء ، حاسس حالي محظوظ . يلا .	BEI
من فضلك ، أسرع .	MSA
لا ، ما تنجمش تبيعو بالسوم هذا ؟	TUN
بدي عدة اسعافات اولية .	BEI
آي . نحب نسوق توا . هذا دوري .	TUN
انا فاكر اني اتصورت في المطعم اللي كنا بنتغدي فيه .	CAI
